id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,quiz_score,time_spent,engagement_score
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,False,3,False,27,Lawyer,73,81,0.0,97,63,80,87,0.2586872586872586,0.7037037037037037,0.43669383669383666
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,False,2,False,47,Doctor,90,86,0.0,100,90,88,90,0.5019305019305018,0.9444444444444444,0.6789360789360788
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,False,9,True,13,Government Officer,81,97,95.0,96,65,77,94,0.7374517374517375,0.5185185185185185,0.6498784498784499
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,False,5,False,3,Artist,71,74,88.0,80,89,63,86,0.528957528957529,0.2592592592592593,0.4210782210782211
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,False,5,False,10,Unknown,84,77,65.0,65,80,74,76,0.4131274131274134,0.7777777777777778,0.5589875589875591
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,False,2,False,26,Unknown,93,100,67.0,78,72,80,84,0.6177606177606179,0.12962962962962962,0.42250822250822256
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,False,3,True,23,Software Engineer,99,96,97.0,73,88,76,64,0.6911196911196908,0.37037037037037035,0.5628199628199626
8,George,Short,george.short.8@gslingacademy.com,male,True,2,True,34,Software Engineer,95,95,82.0,63,84,70,85,0.6177606177606179,0.7037037037037037,0.6521378521378522
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,False,6,False,25,Unknown,94,68,94.0,85,81,74,72,0.5945945945945947,0.33333333333333337,0.4900900900900902
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,False,3,True,18,Teacher,98,69,88.0,71,67,71,73,0.4749034749034746,0.40740740740740744,0.44790504790504776
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,False,2,False,7,Teacher,65,60,97.0,94,71,81,66,0.4633204633204637,0.1851851851851852,0.3520663520663523
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,False,1,False,7,Unknown,80,61,100.0,65,87,64,61,0.40154440154440163,0.1851851851851852,0.315000715000715
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,True,7,False,4,Business Owner,94,59,69.0,67,89,65,73,0.3938223938223937,0.42592592592592593,0.40666380666380664
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,False,10,False,2,Business Owner,66,94,86.0,100,57,90,63,0.5482625482625485,0.962962962962963,0.7141427141427144
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,False,3,False,39,Doctor,96,90,86.0,92,92,95,87,0.8648648648648649,0.6481481481481481,0.7781781781781782
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,False,6,False,0,Business Owner,94,50,78.0,64,79,74,84,0.4208494208494207,0.7222222222222222,0.5413985413985414
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,False,3,True,30,Scientist,92,64,93.0,91,80,89,72,0.644787644787645,0.42592592592592593,0.5572429572429574
